판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
70687,이혼및재산분할등·위자료,2005드단53135,2006.12.19,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70687&type=HTML&mobileYn=
70643,이혼및재산분할등·위자료,2005드합6952,2006.11.16,서울가정법원,가사,400103,판결 : 항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70643&type=HTML&mobileYn=
70642,이혼등,2005드단81468,2006.11.07,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70642&type=HTML&mobileYn=
216083,이혼및위자료등,2005므884,2006.05.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=216083&type=HTML&mobileYn=
70544,이혼및재산분할등·혼인의무효,2004드합8654,2006.04.26,서울가정법원,가사,400103,판결 : 항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70544&type=HTML&mobileYn=
70543,이혼,2005드단32893,2006.04.05,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70543&type=HTML&mobileYn=
84245,이혼및재산분할등,2004므1378,2006.01.13,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=84245&type=HTML&mobileYn=
216173,이혼및재산분할등,2005므1689,2005.12.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=216173&type=HTML&mobileYn=
77264,이혼및재산분할등,2004르964,2005.08.24,서울고등법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=77264&type=HTML&mobileYn=
67670,이혼및재산분할·이혼및재산분할등,2003므1166,2005.08.19,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=67670&type=HTML&mobileYn=
77613,이혼및위자료등,2004르441,2005.05.18,대구지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=77613&type=HTML&mobileYn=
70061,이혼및위자료등·이혼등,2004드합12790,2005.05.18,서울가정법원,가사,400103,판결: 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70061&type=HTML&mobileYn=
67544,이혼·이혼등,2004므436,2005.04.28,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=67544&type=HTML&mobileYn=
